ingredient_name,inci_name,functions,irritancy_level,comedogen_score,safety_score,skin_suitability,description,source_url,source
niacinamide,Niacinamide,cell-communicating ingredient|skin brightening|anti-acne,low,0,,dry|oily|sensitive|all,"Niacinamide, or as us normal people call itvitamin B3,is a real skincare superstar that has had so many studies and has so many skin benefits that we have to warn you that this ""geeky details"" description will not be short.",https://incidecoder.com/ingredients/niacinamide,incidecoder
retinol,Retinol,,low,0,,oily,"If you like to read about skincare (and if you are here, it seems that you do :)), we are sure that you have already read a lot about retinol. It is the ingredient everyone keeps talking about and there is a reason for that: it is themostproven anti-aging superstaravailable over the counter.",https://incidecoder.com/ingredients/retinol,incidecoder
vitamin c,Ascorbyl Glucoside,antioxidant,low,0,,dry,"A form of skincare superstar,vitamin C. If you do not know why vitamin C is such a big deal in skincare, we have a reallydetailed, geeky descriptionthat's good to read. :)",https://incidecoder.com/ingredients/ascorbyl-glucoside,incidecoder
ascorbic acid,Ascorbic Acid,antioxidant|skin brightening,low,0,,dry|oily|sensitive,"If Vit C was a person it would be someone like Beyoncé, Jennifer Lopez or Mariah Carey. Serious performance,A-list superstarbut at the same time shows some major divaish behaviour.",https://incidecoder.com/ingredients/ascorbic-acid,incidecoder
hyaluronic acid,Hyaluronic Acid,skin-identical ingredient,low,0,,dry|oily,"Hyaluronic acid (HA) and its various forms are thecurrent IT-moisturizers. So let’s see, what is hyaluronic acid and even more importantly what’s the big deal about it?",https://incidecoder.com/ingredients/hyaluronic-acid,incidecoder
sodium hyaluronate,Sodium Hyaluronate,"skin-identical ingredient|moisturizer/humectant 
 
 
 
 Irritancy",low,0,,dry,"It’s the - sodium form - cousin of the famousNMF,hyaluronic acid(HA). If HA does not tell you anything we have a super detailed, geeky explanationabout it here.  The TL; DR version of HA is that it's a huge polymer (big molecule from repeated subunits) found in the skin that acts as aspongehelping t",https://incidecoder.com/ingredients/sodium-hyaluronate,incidecoder
salicylic acid,Salicylic Acid,exfoliant|anti-acne|soothing,low,0,,dry|oily|sensitive,"If you have ever struggled with let’s just call it “problem skin” (you know, acne, blackheads, whiteheads, large pores) then most probably you are familiar with salicylic acid (SA). Even if the name does not ring a bell, you have probably used it. Next to benzoyl peroxide, it’s thegold standard ingr",https://incidecoder.com/ingredients/salicylic-acid,incidecoder
glycolic acid,Glycolic Acid,exfoliant,low,0,,dry|sensitive,Unless you have avoided every bit of skin care info out there so far (in this case special welcome to you! :)) you must have heard of glycolic acid. Or at least aboutAHAs or to put it even more nice-soundingfruit acids.,https://incidecoder.com/ingredients/glycolic-acid,incidecoder
lactic acid,Lactic Acid,exfoliant|moisturizer/humectant,low,0,,dry|sensitive,Lactic acid is thesecondmost well-known andmost well researched among the AHAs. The no. 1 is glycolic acid. If you're new to AHAs we strongly suggest that you head over to ourdescription about glycolic acid. There you will find a super detailed geeky description and many of the things we wrote are t,https://incidecoder.com/ingredients/lactic-acid,incidecoder
ceramide np,Ceramide NP,,low,0,,dry|sensitive,One of the many types of ceramides that can be found naturally in the upper layer of the skin. Ceramides make up about 50% of the goopy stuff that's between our skin cells and play a superimportant role in having a healthy skin barrier and keeping the skin hydrated. It works even better when combine,https://incidecoder.com/ingredients/ceramide-np,incidecoder
ceramide ap,Ceramide AP,,low,0,,dry|sensitive,A type of ceramide that can be found naturally in the upper layer of the skin. Ceramides make up 50% of the goopy stuff that's between our skin cells and play asuper important role in having a healthy skin barrier and keeping the skin hydrated.,https://incidecoder.com/ingredients/ceramide-ap,incidecoder
ceramide eg,Ceramide NG,,low,0,,dry|oily|sensitive,One of the 9 types of ceramides that can be found naturally in the upper layer of the skin. Ceramides make up a big part (about 50%) of the goopy stuff that's between our skin cells (called extracellular matrix) and play a superimportant role in having a healthy skin barrier and keeping the skin hyd,https://incidecoder.com/ingredients/ceramide-ng,incidecoder
peptide,Argireline Peptide,,low,0,,all,,https://incidecoder.com/ingredients/argireline-peptide,incidecoder
palmitoyl tripeptide-1,Palmitoyl Tripeptide-1,,low,0,,dry,"A reallyfamous peptide that is part of Matrixyl 3000, the most sold peptide complex in the word. Before we go and find out what the big deal with Matrixyl 3000 is, let's just focus on Palmitoyl Tripeptide-1 itself for a bit.",https://incidecoder.com/ingredients/palmitoyl-tripeptide-1,incidecoder
zinc oxide,Zinc Oxide,"sunscreen 
 
 
 
 Irritancy",low,0,,dry|sensitive,"When it comes to sunscreen agents,Zinc Oxide is pretty much in a league of its own. It's aphysical(or inorganic)sunscreenthat has a lot in common with fellow inorganic sunscreenTitanium Dioxide(TiO2) but a couple of things make it superior even to TiO2.",https://incidecoder.com/ingredients/zinc-oxide,incidecoder
titanium dioxide,Titanium/​Titanium Dioxide,,low,0,,all,,https://incidecoder.com/ingredients/titanium-titanium-dioxide,incidecoder
bakuchiol,Bakuchiol,cell-communicating ingredient|antioxidant,low,0,,dry|sensitive,"At first glance, you could think that Bakuchiol is your averageplant extract. It is derived from the seeds ofPsoralea Corylifolia, aka Babchi, a plant important inIndian and Chinese medicine. The molecule was first isolated in 1973 and several anti-something properties are known about it: it hasanti",https://incidecoder.com/ingredients/bakuchiol,incidecoder
squalane,Squalane,"skin-identical ingredient|emollient 
 
 
 
 Irritancy",low,0,,dry|oily|sensitive|all,"It seems to us that squalane is in fashion and there is a reason for it. Chemically speaking, it is a saturated  (no double bonds) hydrocarbon (a molecule consisting only of carbon and hydrogen), meaning that it's anice and stable oily liquidwith a long shelf life.",https://incidecoder.com/ingredients/squalane,incidecoder
centella asiatica extract,Centella Asiatica Extract,soothing|antioxidant,low,0,,dry|oily|sensitive,"Centella Asiatica - or sometimes also called Gotu Kola or Cica - has been used in folk medicine for hundreds of years. It’s traditionally used toimprove small wounds, burns and scratches and it’s also a well knownanti-inflammatory agentfor eczema.",https://incidecoder.com/ingredients/centella-asiatica-extract,incidecoder
kojic acid,Kojic Acid,antioxidant,low,0,,dry,,https://incidecoder.com/ingredients/kojic-acid,incidecoder
azelaic acid,Azelaic Acid,anti-acne|soothing,low,0,,oily|sensitive,Azelaic acid is a superstar acid with some serious magic properties. Before we list them out here's just a short intro.,https://incidecoder.com/ingredients/azelaic-acid,incidecoder
tranexamic acid,Tranexamic Acid,skin brightening,low,0,,dry|sensitive,,https://incidecoder.com/ingredients/tranexamic-acid,incidecoder
ferulic acid,Ferulic Acid,antioxidant,low,0,,dry,"Ferulic Acid (FA) is a goodie that can be found naturally in plant cell walls. There is a lot of it especially in the bran of grasses such as rice, wheat and oats.",https://incidecoder.com/ingredients/ferulic-acid,incidecoder
resveratrol,Resveratrol,,low,0,,dry|oily,"If you are looking for a reason why red wine is good for you, good news, you have found it! Resveratrol, aka the ""red grape antioxidant"" is the thing that's suspected to keep the French from coronary heart disease despite their not so healthy eating habits (such as high saturated fat intake).",https://incidecoder.com/ingredients/resveratrol,incidecoder
